ProductID,ProductName,Category,CurrentStock,ReorderLevel,UnitPrice,NewUnitPrice,StockValue,Supplier,LastRestockDate,NextRestockDate,WarehouseLocation,IsReorder,Shortage,OverStocked
93285,Door Frame,Hardware,164,100,$493.4,$49.3,"$8,092",FixRight Depot,30/12/2024,4/1/2025,Warehouse A,FALSE,,Other
48516,Switch Box,Electrical,305,50,$262.9,$26.3,"$8,020",Alpha Materials,30/12/2024,9/1/2025,Warehouse C,FALSE,,OverStock
91243,Shower Set,Hardware,420,50,$360.6,$36.1,"$15,143",Alpha Materials,30/12/2024,22/1/2025,Warehouse A,FALSE,,OverStock
56576,PVC Pipe,Plumbing,357,40,$347.8,$34.8,"$12,415",Konga Wholesale,30/12/2024,1/2/2025,Warehouse C,FALSE,,OverStock
81637,Shower Set,Hardware,90,50,$214.4,$21.4,"$1,930",Konga Wholesale,30/12/2024,7/1/2025,Warehouse A,FALSE,,Other
77526,Kitchen Sink,Plumbing,417,40,$228.9,$22.9,"$9,543",FixRight Depot,29/12/2024,26/1/2025,Warehouse B,FALSE,,OverStock
55648,Toilet Seat,Hardware,354,50,$487.4,$48.7,"$17,254",MegaBuild Ltd,29/12/2024,26/1/2025,Warehouse B,FALSE,,OverStock
53732,Water Heater,Plumbing,210,50,$160.6,$16.1,"$3,373",MegaBuild Ltd,29/12/2024,11/1/2025,Warehouse B,FALSE,,OverStock
63218,Roofing Sheet,Building Materials,44,30,$443.7,$44.4,"$1,952",MegaBuild Ltd,29/12/2024,18/1/2025,Warehouse B,FALSE,,Other
57315,Roofing Sheet,Building Materials,187,40,$335.0,$33.5,"$6,264",Alpha Materials,29/12/2024,14/1/2025,Warehouse A,FALSE,,OverStock
63331,Shower Set,Hardware,28,30,$101.5,$10.2,$284,FixRight Depot,29/12/2024,4/1/2025,Warehouse B,TRUE,2,Other
20482,Toilet Seat,Hardware,70,100,$34.4,$3.4,$241,MegaBuild Ltd,29/12/2024,20/1/2025,Warehouse A,TRUE,30,Other
50533,Bulb Pack,Electrical,373,30,$245.0,$24.5,"$9,140",Alpha Materials,29/12/2024,5/2/2025,Warehouse B,FALSE,,OverStock
29749,Toilet Seat,Hardware,454,20,$437.8,$43.8,"$19,874",Konga Wholesale,29/12/2024,1/2/2025,Warehouse B,FALSE,,OverStock
99786,Kitchen Sink,Plumbing,307,30,$151.0,$15.1,"$4,635",FixRight Depot,29/12/2024,25/1/2025,Warehouse A,FALSE,,OverStock
10576,Wallpaper Roll,Interior,313,150,$141.1,$14.1,"$4,417",MegaBuild Ltd,29/12/2024,24/1/2025,Warehouse A,FALSE,,Other
87362,Electrical Cable,Electrical,259,30,$24.3,$2.4,$629,MegaBuild Ltd,28/12/2024,28/1/2025,Warehouse B,FALSE,,OverStock
78906,Door Frame,Hardware,30,80,$484.1,$48.4,"$1,452",Jumia Supplies,28/12/2024,6/1/2025,Warehouse C,TRUE,50,Other
19039,Concrete Block,Building Materials,154,150,$478.2,$47.8,"$7,364",MegaBuild Ltd,28/12/2024,6/1/2025,Warehouse B,FALSE,,Other
83100,Cement Bag,Building Materials,229,40,$247.6,$24.8,"$5,670",FixRight Depot,28/12/2024,2/2/2025,Warehouse C,FALSE,,OverStock
61331,Door Frame,Hardware,143,40,$85.3,$8.5,"$1,220",Jumia Supplies,28/12/2024,18/1/2025,Warehouse C,FALSE,,OverStock
